ADDRESS,Zip Code,phase
44 OLIVER HOWE CT,05770,I
1447 W SALISBURY RD,05769,I
985 THREE MILE BRIDGE RD,05753,I
695 DOOLITTLE RD,05770,I
199 MAIN ST,05770,I
277 TOTTINGHAM RD,05770,I
469 FOOTE FARM RD,05753,I
138 ELMENDORF RD,05770,I
2298 N BINGHAM ST,05753,I
68 PHILION RD,05770,I
158 NEEDHAM HILL RD,05760,I
280 MAIN ST,05770,I
1813 HALLADAY RD,05753,I
51 INN RD,05770,I
31 HORNBEAM HILL RD,05753,I
13 S BINGHAM ST,05753,I
1272 CIDER MILL RD,05753,I
1674 SPERRY RD,05753,I
458 SWAMP RD,05753,I
101 S BINGHAM ST,05753,I
354 N MAIN ST,05778,I
432 ROBBINS RD,05753,I
73 LAKE ST,05770,I
1528 WOOSTER RD,05778,I
300 DELONG LN,05770,I
400 MAIN ST,05760,I
219 BLAKE ROY RD,05753,I
553 WOOSTER RD,05778,I
11 INN RD,05770,I
155 CHURCH ST,05760,I
201 LAPHAM BAY RD,05770,I
175 MAIN ST,05770,I
346 MORSE RD,05753,I
398 DOUGLAS RD,05753,I
1076 WOOSTER RD,05778,I
1079 SMITH ST,05770,I
410 MAIN ST,05770,I
239 CIDER MILL RD,05753,I
510 W SALISBURY RD,05769,I
1629 S BINGHAM ST,05778,I
85 CIDER MILL RD,05753,I
2575 S BINGHAM ST,05778,I
125 STICKNEY RD,05778,I
421 N BINGHAM ST,05753,I
985 N BINGHAM ST,05753,I
138 ANGEL RD,05778,I
1944 SPERRY RD,05753,I
825 CIDER MILL RD,05753,I
2156 W SALISBURY RD,05769,I
186 BUTTOLPH RD,05770,I
1447 SMITH ST,05770,I
1844 HALLADAY RD,05753,I
1299 S BINGHAM ST,05753,I
2505 DEWEY RD,05769,I
1594 N ORWELL RD,05770,I
1363 S BINGHAM ST,05753,I
8 N ORWELL RD,05760,I
286 HANDS COVE RD,05770,I
153 MAIN ST,05770,I
143 STICKNEY RD,05778,I
297 S BINGHAM ST,05753,I
462 S BINGHAM ST,05753,I
187 NEEDHAM HILL RD,05760,I
980 WOOSTER RD,05778,I
7 CHURCH ST,05760,I
1120 W SALISBURY RD,05769,I
116 CAROTHERS LN,05753,I
380 FOOTE FARM RD,05753,I
1211 SMITH ST,05770,I
2461 N BINGHAM ST,05753,I
234 SCHOOL ST,05770,I
362 MAIN ST,05770,I
1646 HALLADAY RD,05753,I
64 SHARD VILLA RD,05769,I
2150 W SALISBURY RD,05769,I
1683 SPERRY RD,05753,I
210 CIDER MILL RD,05753,I
517 BASIN HARBOR RD,05770,I
553 WITHERELL RD,05770,I
942 CIDER MILL RD,05753,I
1623 BUTTOLPH RD,05770,I
8 DOUGLAS RD,05753,I
527 MAIN ST,05760,I
1127 N BINGHAM ST,05753,I
283 LITTLEFIELD LN,05770,I
303 LITTLEFIELD LN,05770,I
168 N ORWELL RD,05760,I
2630 OLD JERUSALEM RD,05769,I
194 S BINGHAM ST,05753,I
905 W SALISBURY RD,05769,I
1131 S BINGHAM ST,05753,I
12 JAMES RD,05753,I
314 DOUGLAS RD,05753,I
338 DELONG RD,05753,I
107 FIREHOUSE RD,05770,I
734 WITHERELL RD,05770,I
131 MAIN ST,05770,I
52 N ORWELL RD,05760,I
97 LITTLEFIELD LN,05770,I
1563 W SALISBURY RD,05769,I
97 SHOREHAM DEPOT RD,05778,I
427 WOOSTER RD,05778,I
548 DELONG LN,05770,I
525 N BINGHAM ST,05753,I
1515 CIDER MILL RD,05753,I
746 N BINGHAM ST,05753,I
2663 WATCH POINT RD,05770,I
188 DELONG LN,05770,I
435 MAIN ST,05760,I
1087 WITHERELL RD,05770,I
191 MAIN ST,05770,I
2582 OLD JERUSALEM RD,05769,I
2530 OLD JERUSALEM RD,05769,I
647 W SALISBURY RD,05769,I
148 CAROTHERS LN,05753,I
71 INN RD,05770,I
2744 WATCH POINT RD,05770,I
436 MAIN ST,05760,I
494 MAIN ST,05760,I
961 SHOREHAM DEPOT RD,05760,I
297 MAIN ST,05770,I
23 INN RD,05770,I
445 SWAMP RD,05753,I
29 DAIGNEAULT HILL RD,05760,I
60 STICKNEY RD,05778,I
179 CIDER MILL RD,05753,I
1575 N ORWELL RD,05770,I
421 S BINGHAM ST,05753,I
2413 SHACKSBORO RD,05770,I
227 MAIN ST,05770,I
740 SHACKSBORO RD,05770,I
241 SCHOOL ST,05770,I
410 DELONG LN,05770,I
685 LAPHAM BAY RD,05770,I
125 MORSE RD,05753,I
19 N BINGHAM ST,05753,I
50 EDGEWOOD LN,05753,I
299 RIDGE RD,05753,I
536 W SALISBURY RD,05769,I
87 OLIVER HOWE CT,05770,I
145 NEEDHAM HILL RD,05760,I
2615 OLD JERUSALEM RD,05769,I
109 CHURCH ST,05760,I
68 SHACKSBORO RD,05770,I
1863 BUTTOLPH RD,05770,I
1340 S BINGHAM ST,05753,I
242 S BINGHAM ST,05753,I
143 S BINGHAM ST,05753,I
56 APPLE TREE LN,05753,I
1205 THREE MILE BRIDGE RD,05753,I
1565 S BINGHAM ST,05778,I
1033 S BINGHAM ST,05753,I
297 LAKE ST,05770,I
2207 N BINGHAM ST,05753,I
302 OLD SAWMILL RD,05778,I
298 OLD SAWMILL RD,05778,I
115 MAIN ST,05770,I
681 S BINGHAM ST,05753,I
378 N MAIN ST,05778,I
24 GIBEAULT RD,05778,I
1447 HALLADAY RD,05753,I
692 DELONG LN,05770,I
807 SMITH ST,05770,I
2665 OLD JERUSALEM RD,05769,I
1756 SPERRY RD,05753,I
415 BUTTOLPH RD,05770,I
790 RIDGE RD,05753,I
215 SUNSET ORCHARD RD,05753,I
114 CROSS RD,05753,I
178 CROSS RD,05753,I
2051 W SALISBURY RD,05769,I
1971 W SALISBURY RD,05769,I
384 N BINGHAM ST,05753,I
628 N BINGHAM ST,05753,I
769 N BINGHAM ST,05753,I
1672 SPERRY RD,05753,I
1265 S BINGHAM ST,05753,I
11 HAMBLIN RD,05753,I
776 RIDGE RD,05753,I
177 NEEDHAM HILL RD,05760,I
57 LAPHAM BAY RD,05770,I
34 FOOTE FARM RD,05753,I
500 RIDGE RD,05753,I
118 CAROTHERS LN,05753,I
1153 CIDER MILL RD,05753,I
123 PHILION RD,05770,I
83 PHILION RD,05770,I
133 STICKNEY RD,05778,I
3394 RICHVILLE RD,05778,I
997 SHOREHAM DEPOT RD,05760,I
59 CHURCH ST,05760,I
89 RIDGE RD,05753,I
347 LAKE ST,05770,I
147 CROSS RD,05753,I
463 DELONG RD,05753,I
1456 HALLADAY RD,05753,I
520 TOTTINGHAM RD,05770,I
188 AUDET RD,05753,I
438 WOOSTER RD,05753,I
380 N BINGHAM ST,05753,I
832 WITHERELL RD,05770,I
3009 RICHVILLE RD,05778,I
2001 OLD JERUSALEM RD,05769,I
75 DOUGLAS RD,05753,I
51 MAIN ST,05770,I
534 DELONG RD,05753,I
605 DELONG RD,05753,I
150 CAROTHERS LN,05753,I
164 NEEDHAM HILL RD,05760,I
2 N ORWELL RD,05760,I
34 CHURCH ST,05760,I
314 DELONG LN,05770,I
3 STICKNEY RD,05778,I
21 SMITH ST,05770,I
607 CIDER MILL RD,05753,I
648 N MAIN ST,05778,I
20 MOUNT INDEPENDENCE RD,05760,I
282 DELONG LN,05770,I
1260 RIDGE RD,05753,I
1081 RIDGE RD,05753,I
1302 RIDGE RD,05753,I
785 RIDGE RD,05753,I
193 SHOREHAM DEPOT RD,05778,I
442 KELLEY CROSS RD,05769,I
55 CIDER MILL RD,05753,I
843 TOTTINGHAM RD,05770,I
876 SHOREHAM DEPOT RD,05760,I
419 LAPHAM BAY RD,05770,I
1460 HALLADAY RD,05753,I
164 SHOREHAM DEPOT RD,05778,I
2195 S BINGHAM ST,05778,I
205 MAIN ST,05770,I
132 SWAMP RD,05753,I
1623 SMITH ST,05770,I
318 WITHERELL RD,05770,I
613 N MAIN ST,05778,I
323 PEET RD,05753,I
2841 WATCH POINT RD,05770,I
1041 N BINGHAM ST,05753,I
541 BASIN HARBOR RD,05770,I
75 MAIN ST,05770,I
724 DELONG LN,05770,I
172 STICKNEY RD,05778,I
452 LELAND RD,05769,I
74 MAIN ST,05770,I
79 SUNSET ORCHARD RD,05753,I
811 BUTTOLPH RD,05770,I
237 SHACKSBORO RD,05770,I
97 LAKE ST,05770,I
662 LELAND RD,05769,I
512 DELONG LN,05770,I
1787 SPERRY RD,05753,I
531 MAIN ST,05760,I
66 CHURCH ST,05760,I
619 TOTTINGHAM RD,05770,I
352 CIDER MILL RD,05753,I
1104 N BINGHAM ST,05753,I
1377 W SALISBURY RD,05769,I
773 WITHERELL RD,05770,I
338 DELONG LN,05770,I
155 NEEDHAM HILL RD,05760,I
1331 S BINGHAM ST,05753,I
1188 THREE MILE BRIDGE RD,05753,I
18 N ORWELL RD,05760,I
2769 RICHVILLE RD,05778,I
879 BUTTOLPH RD,05770,I
28 BUTTOLPH RD,05770,I
265 S BINGHAM ST,05753,I
182 NEEDHAM HILL RD,05760,I
1455 CIDER MILL RD,05753,I
8 SHARD VILLA RD,05769,I
888 THREE MILE BRIDGE RD,05753,I
2139 QUIET VALLEY RD,05770,I
1316 N ORWELL RD,05770,I
2525 SHACKSBORO RD,05770,I
630 SHOREHAM DEPOT RD,05778,I
2711 RICHVILLE RD,05778,I
973 S BINGHAM ST,05753,I
14 AUDET RD,05753,I
372 LAPHAM BAY RD,05770,I
133 EDGEWOOD LN,05753,I
35 SWAMP RD,05753,I
216 DELONG RD,05753,I
721 TOTTINGHAM RD,05770,I
160 WITHERELL RD,05770,I
949 CIDER MILL RD,05753,I
1619 HALLADAY RD,05753,I
272 CIDER MILL RD,05753,I
652 DELONG LN,05770,I
342 SCHOOL ST,05770,I
431 SHACKSBORO RD,05770,I
285 CIDER MILL RD,05753,I
308 LAPHAM BAY RD,05770,I
399 MAIN ST,05760,I
1155 CIDER MILL RD,05753,I
3045 W SALISBURY RD,05769,I
159 N BINGHAM ST,05753,I
77 N ORWELL RD,05760,I
1042 RIDGE RD,05753,I
1431 CIDER MILL RD,05753,I
123 LAMBERT LN,05753,I
16 ROBERTS AVE,05760,I
28 ROBERTS AVE,05760,I
37 ROBERTS AVE,05760,I
46 ROBERTS AVE,05760,I
50 ROBERTS AVE,05760,I
56 ROBERTS AVE,05760,I
1079 WEST ST,05753,I
1097 VT ROUTE 30,05753,I
1104 WEST ST,05753,I
1186 WEST ST,05753,I
12 MOUNT INDEPENDENCE RD,05760,I
1368 WEST ST,05753,I
137 COBBS CORNERS RD,05753,I
1397 WEST ST,05753,I
1399 VT ROUTE 30,05753,I
143 VT ROUTE 73,05770,I
1458 WEST ST,05753,I
1465 WEST ST,05753,I
15 DAIGNEAULT HILL RD,05760,I
1599 VT ROUTE 30,05753,I
1680 WEST ST,05753,I
1682 VT ROUTE 30,05753,I
175 COBBS CORNERS RD,05753,I
190 ROBBINS RD EXT,05753,I
1906 VT ROUTE 30,05753,I
1940 WEST ST,05753,I
2141 WEST ST,05753,I
2205 WEST ST,05753,I
2394 VT ROUTE 30,05753,I
268 WEST ST,05753,I
28 SCHOOL RD,05770,I
287 COBBS CORNERS RD,05753,I
290 COBBS CORNERS RD,05753,I
2901 VT ROUTE 30,05753,I
2949 VT ROUTE 22A,05770,I
2956 VT ROUTE 125,05753,I
2963 VT ROUTE 30,05753,I
3001 VT ROUTE 30,05753,I
3039 VT ROUTE 22A,05770,I
3043 VT ROUTE 30,05753,I
3275 VT ROUTE 22A,05770,I
329 WEST ST,05753,I
34 ROBERTS AVE,05760,I
3930 VT ROUTE 74 W,05770,I
40 NORTH RD,05778,I
426 WEST ST,05753,I
429 VT ROUTE 30,05753,I
433 FOOTE FARM RD,05753,I
45 ROBERTS AVE,05760,I
485 WEST ST,05753,I
50 VT ROUTE 73,05770,I
516 MAIN ST,05760,I
5392 VT ROUTE 30,05753,I
546 VT ROUTE 74 E,05770,I
56 VT ROUTE 73,05770,I
567 MAIN ST,05760,I
574 WEST ST,05753,I
582 MAIN ST,05760,I
584 WEST ST,05753,I
60 ROBERTS AVE,05760,I
613 WEST ST,05753,I
627 VT ROUTE 30,05753,I
776 WEST ST,05753,I
82 SCHOOL RD,05770,I
860 WEST ST,05753,I
88 VT ROUTE 73,05770,I
938 WEST ST,05753,I
162 NEEDHAM HILL RD,05760,I
160 NEEDHAM HILL RD,05760,I
285 VT ROUTE 22A,05760,I
294 VT ROUTE 22A,05760,I
296 VT ROUTE 22A,05760,I
617 VT ROUTE 73,05760,I
310 VT ROUTE 22A,05760,I
714 VT ROUTE 73,05760,I
613 VT ROUTE 73,05760,I
708 VT ROUTE 73,05760,I
618 VT ROUTE 73,05760,I
318 VT ROUTE 22A,05760,I
52 ROBERTS AVE,05760,I
54 ROBERTS AVE,05760,I
413 MAIN ST,05760,I
485 MAIN ST,05760,I
449 MAIN ST,05760,I
601 MAIN ST,05760,I
501 MAIN ST,05760,I
491 MAIN ST,05760,I
515 MAIN ST,05760,I
499 MAIN ST,05760,I
523 MAIN ST,05760,I
537 MAIN ST,05760,I
606 MAIN ST,05760,I
231 VT ROUTE 73,05760,I
604 MAIN ST,05760,I
330 VT ROUTE 22A,05760,I
599 MAIN ST,05760,I
518 MAIN ST,05760,I
520 MAIN ST,05760,I
530 MAIN ST,05760,I
538 MAIN ST,05760,I
544 MAIN ST,05760,I
546 MAIN ST,05760,I
568 MAIN ST,05760,I
480 MAIN ST,05760,I
11 N ORWELL RD,05760,I
498 MAIN ST,05760,I
344 VT ROUTE 22A,05760,I
174 N ORWELL RD,05760,I
133 VT ROUTE 73,05770,I
139 VT ROUTE 73,05770,I
108 VT ROUTE 73,05770,I
60 VT ROUTE 73,05770,I
2139 BARNUM HILL RD,05770,I
2150 BARNUM HILL RD,05770,I
2012 BARNUM HILL RD,05770,I
3658 VT ROUTE 74 W,05770,I
3595 VT ROUTE 74 W,05770,I
3597 VT ROUTE 74 W,05770,I
959 SHOREHAM DEPOT RD,05760,I
3593 VT ROUTE 74 W,05770,I
3561 VT ROUTE 74 W,05770,I
3591 VT ROUTE 74 W,05770,I
3455 VT ROUTE 74 W,05770,I
715 SHOREHAM DEPOT RD,05778,I
162 DAME RD,05778,I
149 DAME RD,05778,I
143 SHOREHAM WHITING RD,05778,I
176 SHOREHAM WHITING RD,05778,I
53 SHOREHAM WHITING RD,05778,I
123 SHOREHAM WHITING RD,05778,I
41 SHOREHAM WHITING RD,05778,I
15 SHOREHAM WHITING RD,05778,I
42 SHOREHAM WHITING RD,05778,I
322 SHOREHAM DEPOT RD,05778,I
238 SHOREHAM DEPOT RD,05778,I
433 HANDS COVE RD,05770,I
524 SMITH ST,05770,I
1290 N ORWELL RD,05770,I
3474 RICHVILLE RD,05778,I
803 SMITH ST,05770,I
1365 N ORWELL RD,05770,I
1358 N ORWELL RD,05770,I
809 SMITH ST,05770,I
1570 N ORWELL RD,05770,I
1491 N ORWELL RD,05770,I
1561 OLD JERUSALEM RD,05769,I
2213 RICHVILLE RD,05770,I
51 PHILION RD,05770,I
1750 OLD JERUSALEM RD,05769,I
1770 OLD JERUSALEM RD,05769,I
12 DEWEY RD,05769,I
1104 SMITH ST,05770,I
1321 SMITH ST,05770,I
1315 SMITH ST,05770,I
1300 SMITH ST,05770,I
337 SHACKSBORO RD,05770,I
1449 SMITH ST,05770,I
1527 SMITH ST,05770,I
791 BUTTOLPH RD,05770,I
893 BUTTOLPH RD,05770,I
848 WITHERELL RD,05770,I
369 WITHERELL RD,05770,I
277 WITHERELL RD,05770,I
3606 OLD JERUSALEM RD,05769,I
708 WITHERELL RD,05770,I
1050 VT ROUTE 74 W,05770,I
3121 WATCH POINT RD,05770,I
1048 VT ROUTE 74 W,05770,I
3091 WATCH POINT RD,05770,I
3066 WATCH POINT RD,05770,I
129 STICKNEY RD,05778,I
147 STICKNEY RD,05778,I
3549 VT ROUTE 22A,05770,I
3533 VT ROUTE 22A,05770,I
156 SCHOOL RD,05770,I
61 OLIVER HOWE CT,05770,I
130 SCHOOL RD,05770,I
3442 VT ROUTE 22A,05770,I
80 GIBEAULT RD,05778,I
53 FIREHOUSE RD,05770,I
3351 VT ROUTE 22A,05770,I
3327 VT ROUTE 22A,05770,I
1591 BUTTOLPH RD,05770,I
3297 VT ROUTE 22A,05770,I
416 MAIN ST,05770,I
3296 VT ROUTE 22A,05770,I
1613 BUTTOLPH RD,05770,I
65 INN RD,05770,I
133 LAKE ST,05770,I
3231 VT ROUTE 22A,05770,I
3205 VT ROUTE 22A,05770,I
3183 VT ROUTE 22A,05770,I
3167 VT ROUTE 22A,05770,I
3185 VT ROUTE 22A,05770,I
3101 VT ROUTE 22A,05770,I
3130 VT ROUTE 22A,05770,I
3083 VT ROUTE 22A,05770,I
3028 VT ROUTE 22A,05770,I
1875 BUTTOLPH RD,05770,I
2987 VT ROUTE 22A,05770,I
1695 SHACKSBORO RD,05770,I
2972 VT ROUTE 22A,05770,I
2936 VT ROUTE 22A,05770,I
474 TOTTINGHAM RD,05770,I
120 VT ROUTE 74 E,05770,I
186 VT ROUTE 74 E,05770,I
156 VT ROUTE 74 E,05770,I
118 VT ROUTE 74 E,05770,I
214 VT ROUTE 74 E,05770,I
232 VT ROUTE 74 E,05770,I
113 VT ROUTE 74 E,05770,I
314 VT ROUTE 74 E,05770,I
2846 VT ROUTE 22A,05770,I
23 VT ROUTE 74 E,05770,I
318 VT ROUTE 74 E,05770,I
2793 VT ROUTE 22A,05770,I
376 VT ROUTE 74 E,05770,I
2758 VT ROUTE 22A,05770,I
213 VT ROUTE 74 E,05770,I
2682 VT ROUTE 22A,05770,I
2138 SHACKSBORO RD,05770,I
2131 SHACKSBORO RD,05770,I
2445 VT ROUTE 22A,05770,I
652 N MAIN ST,05778,I
1869 LAKE ST,05770,I
6333 VT ROUTE 30,05753,I
6259 VT ROUTE 30,05753,I
6183 VT ROUTE 30,05753,I
1030 PALMER RD,05770,I
589 DELONG RD,05753,I
6039 VT ROUTE 30,05753,I
5979 VT ROUTE 30,05753,I
5949 VT ROUTE 30,05753,I
446 DELONG LN,05770,I
510 DELONG RD,05753,I
5842 VT ROUTE 30,05753,I
5840 VT ROUTE 30,05753,I
5835 VT ROUTE 30,05753,I
5774 VT ROUTE 30,05753,I
5777 VT ROUTE 30,05753,I
280 DELONG LN,05770,I
1874 S BINGHAM ST,05778,I
5680 VT ROUTE 30,05753,I
220 DELONG LN,05770,I
316 DOUGLAS RD,05753,I
214 LELAND RD,05769,I
1135 WOOSTER RD,05778,I
150 LELAND RD,05769,I
11 ANGEL RD,05778,I
21 ANGEL RD,05778,I
464 WOOSTER RD,05753,I
968 WOOSTER RD,05778,I
978 WOOSTER RD,05778,I
5322 VT ROUTE 30,05753,I
5283 VT ROUTE 30,05753,I
170 ANGEL RD,05778,I
5217 VT ROUTE 30,05753,I
5129 VT ROUTE 30,05753,I
5081 VT ROUTE 30,05753,I
5013 VT ROUTE 30,05753,I
4969 VT ROUTE 30,05753,I
501 LAPHAM BAY RD,05770,I
657 S BINGHAM ST,05753,I
450 VT ROUTE 22A,05770,I
444 S BINGHAM ST,05753,I
950 DOOLITTLE RD,05770,I
258 AUDET RD,05753,I
286 S BINGHAM ST,05753,I
2463 VT ROUTE 74,05753,I
2535 VT ROUTE 74,05753,I
2579 VT ROUTE 74,05753,I
4601 VT ROUTE 74 E,05770,I
2271 VT ROUTE 74,05753,I
2217 VT ROUTE 74,05753,I
2462 VT ROUTE 74,05753,I
2141 VT ROUTE 74,05753,I
1969 VT ROUTE 74,05753,I
2099 VT ROUTE 74,05753,I
1967 VT ROUTE 74,05753,I
33 WEST ST,05753,I
2098 VT ROUTE 74,05753,I
1635 VT ROUTE 74,05753,I
1874 VT ROUTE 74,05753,I
1986 VT ROUTE 74,05753,I
